PEILDATUM;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;AFSTAND;LEERLINGEN
20171001;06PP;00;Oecumenische Basisschool;6971VD;BRUMMEN;213;Brummen;Gelderland;Bo;Algemeen bijzonder;42616;61,5240963855422;166
20171001;06PQ;00;SWS De Klimboom;9362RA;BOERAKKER;25;Marum;Groningen;Bo;Protestants-Christelijk;41571;1444,51515151515;66
20171001;06PR;00;Eben Haezerschool;8096VN;OLDEBROEK;269;Oldebroek;Gelderland;Bo;Reformatorisch;60803;2665,94314381271;299
20171001;06PS;00;Basisschool De Wegwijzer;7927PJ;ALTEVEER GEM DE WOLDEN;1690;De Wolden;Drenthe;Bo;Protestants-Christelijk;60829;1280,31531531532;111
20171001;06PT;00;St Aloysiussch;7595AM;WEERSELO;1774;Dinkelland;Overijssel;Bo;Rooms-Katholiek;75219;381,146017699115;226
20171001;06PV;00;Michaelschool;8932DG;LEEUWARDEN;80;Leeuwarden;Friesland;Bo;Antroposofisch;77456;4115,98421052632;190
20171001;06PZ;00;De Balsemyn;9261ZH;EASTERMAR;737;Tytsjerksteradiel;Friesland;Bo;Protestants-Christelijk;42754;278,666666666667;120
20171001;06QB;00;St Ludgerussch;8711GP;WORKUM;1900;Sudwest-Fryslan;Friesland;Bo;Rooms-Katholiek;41000;1375,25547445255;137
20171001;06QC;00;Gabrielschool Jenaplan;3881CC;PUTTEN;273;Putten;Gelderland;Bo;Rooms-Katholiek;40950;1467,80546075085;293
20171001;06QE;00;Meester Snelschool;7581GE;LOSSER;168;Losser;Overijssel;Bo;Protestants-Christelijk;24844;448,466666666667;108
20171001;06QF;00;Brede School St. Martinus;6905AR;ZEVENAAR;299;Zevenaar;Gelderland;Bo;Rooms-Katholiek;61284;359;158
20171001;06QH;00;RK Basisschool De Banier;7894CL;ZWARTEMEER;114;Emmen;Drenthe;Bo;Rooms-Katholiek;45000;1333,92142857143;145
20171001;06QI;00;Sint Jozefschool;8112AD;NIEUW HEETEN;177;Raalte;Overijssel;Bo;Rooms-Katholiek;40894;1709,18604651163;86
20171001;06QJ;00;SWS De Diamant;9216WE;OUDEGA GEM SMALLINGERLND;90;Smallingerland;Friesland;Bo;Protestants-Christelijk;40342;312,351724137931;145
20171001;06QK;00;Daltonschool Sint Jozef;8531KM;LEMMER;1940;De Fryske Marren;Friesland;Bo;Rooms-Katholiek;41000;781,919831223629;237
20171001;06QM;00;Basisschool De Wizebeam;9047KG;MINNERTSGA;63;het Bildt;Friesland;Bo;Protestants-Christelijk;40632;73,7608695652174;92
20171001;06QN;00;De Klimbeam;8723AG;KOUDUM;1900;Sudwest-Fryslan;Friesland;Bo;Protestants-Christelijk;41385;328,06880733945;218
20171001;06QO;00;Basisschool De Ikker;9171LM;BLIJE;1722;Ferwerderadiel;Friesland;Bo;Protestants-Christelijk;40789;0;73
20171001;06QP;00;Chr Basissch De Finne;9258CM;JISTRUM;737;Tytsjerksteradiel;Friesland;Bo;Protestants-Christelijk;42754;254,75;56
20171001;06QQ;00;St Franciscussch;7765AG;WEITEVEEN;114;Emmen;Drenthe;Bo;Rooms-Katholiek;40888;0;129
20171001;06QR;00;Basisschool St Cyriacus;7722LR;DALFSEN;148;Dalfsen;Overijssel;Bo;Rooms-Katholiek;40894;1083,29591836735;98
20171001;06QS;00;Basisschool De Bongerd;8131SW;WIJHE;1773;Olst-Wijhe;Overijssel;Bo;Rooms-Katholiek;40894;746,369942196532;173
20171001;06QT;00;CBS De Bron;9363BC;MARUM;25;Marum;Groningen;Bo;Protestants-Christelijk;41571;455,735294117647;272
20171001;06QV;00;CBS Rehoboth;9821TS;OLDEKERK;15;Grootegast;Groningen;Bo;Protestants-Christelijk;41571;728,048611111111;144
20171001;06QY;00;Basisschool Parcival;1185NK;AMSTELVEEN;362;Amstelveen;Noord-Holland;Bo;Antroposofisch;61752;2597,66228070175;228
20171001;06QZ;00;Westfriese Vrije School;1628DJ;HOORN NH;405;Hoorn;Noord-Holland;Bo;Antroposofisch;41296;3657,81951219512;205
20171001;06RA;00;Basissch Oranje Nassau;2471AW;ZWAMMERDAM;484;Alphen aan den Rijn;Zuid-Holland;Bo;Protestants-Christelijk;40530;847,574074074074;108
20171001;06RD;00;Vrije School Zaanstreek;1503AR;ZAANDAM;479;Zaanstad;Noord-Holland;Bo;Antroposofisch;41296;2078,29439252336;214
20171001;06RE;00;De Vrije School Widar;2613XB;DELFT;503;Delft;Zuid-Holland;Bo;Antroposofisch;61960;2315,52713178295;259
20171001;06RF;00;Parcivalschool;6832HG;ARNHEM;202;Arnhem;Gelderland;Bo;Antroposofisch;77456;2620,44262295082;246
20171001;06RG;00;De Stroeten;7812BA;EMMEN;114;Emmen;Drenthe;Bo;Antroposofisch;77456;3361,34343434343;99
20171001;06RJ;00;Boslust School voor ZMLK;7731AN;OMMEN;175;Ommen;Overijssel;So;Protestants-Christelijk;62181;13182,3968253968;64
20171001;06RJ;00;Boslust School voor ZMLK;7731AN;OMMEN;175;Ommen;Overijssel;Vso;Protestants-Christelijk;62181;14100,46875;96
20171001;06RK;00;Basisschool De Schalmei;8851EB;TZUMMARUM;70;Franekeradeel;Friesland;Bo;Protestants-Christelijk;42656;84,25;56
20171001;06RL;00;Christelijke Basisschool;7695TJ;BRUCHTERVELD;160;Hardenberg;Overijssel;Bo;Protestants-Christelijk;62571;281,226804123711;97
20171001;06RM;00;Vrije School Almere;1312JZ;ALMERE;34;Almere;Flevoland;Bo;Antroposofisch;62584;4177,92639593909;395
20171001;06RN;00;Basisschool De Terp;1383EA;WEESP;457;Weesp;Noord-Holland;Bo;Algemeen bijzonder;41595;263,090425531915;188
20171001;06RP;00;Basisschool St Stephanus;7627PL;BORNERBROEK;141;Almelo;Overijssel;Bo;Rooms-Katholiek;68836;800,352941176471;221
20171001;06RQ;00;RK Basisschool De Kabas;8801VW;FRANEKER;70;Franekeradeel;Friesland;Bo;Rooms-Katholiek;41000;620,134920634921;252
20171001;06RR;00;t Blokhuus;3871EM;HOEVELAKEN;267;Nijkerk;Gelderland;Bo;Algemeen bijzonder;63039;287,584980237154;253
20171001;06RS;00;Prot Chr Basisschool;7918AX;NIEUWLANDE;118;Hoogeveen;Drenthe;Bo;Protestants-Christelijk;41425;1266,67346938776;98
20171001;06RT;00;Notter School M D Bijbel;7467PD;NOTTER;189;Wierden;Overijssel;Bo;Protestants-Christelijk;63091;2202,90654205607;107
20171001;06RU;00;Basisschool De Helmstok;8226GS;LELYSTAD;995;Lelystad;Flevoland;Bo;Gereformeerd vrijgemaakt;41632;1898,01;200
20171001;06RV;00;SSBO Dr J C Logemann;3025AS;ROTTERDAM;599;Rotterdam;Zuid-Holland;Sbo;Algemeen bijzonder;74531;1062,19512195122;41
20171001;06RW;00;De Bakelaar;5761BV;BAKEL;1652;Gemert-Bakel;Noord-Brabant;Bo;Rooms-Katholiek;32580;637,297213622291;323
20171001;06RX;00;Sint Martinusschool;7078AV;MEGCHELEN;1509;Oude IJsselstreek;Gelderland;Bo;Rooms-Katholiek;50129;247,835164835165;93
20171001;06RY;00;Chr Basisschool De Vliet;3286XC;KLAASWAAL;611;Cromstrijen;Zuid-Holland;Bo;Protestants-Christelijk;41127;221;121
20171001;06RZ;00;Chr Basisschool De Ark;7688RK;DAARLE;163;Hellendoorn;Overijssel;Bo;Protestants-Christelijk;85600;428,7421875;128
20171001;06SB;00;RK Basisschool Kadoes;7665DG;ALBERGEN;183;Tubbergen;Overijssel;Bo;Rooms-Katholiek;50949;118,670175438596;285
20171001;06SC;00;Kardinaal de Jongschool;9163KG;NES AMELAND;60;Ameland;Friesland;Bo;Rooms-Katholiek;41000;874,33918128655;171
20171001;06SE;00;Basisschool De Poort;9791JB;TEN BOER;9;Ten Boer;Groningen;Bo;Gereformeerd vrijgemaakt;41025;944,764705882353;102
20171001;06SF;00;Gerardus Majellaschool;7766AE;NIEUW-SCHOONEBEEK;114;Emmen;Drenthe;Bo;Rooms-Katholiek;40888;0;105
20171001;06SG;00;SWS De Frissel;9222NJ;DRACHTSTERCOMPAGNIE;90;Smallingerland;Friesland;Bo;Protestants-Christelijk;40342;600,776785714286;112
20171001;06SI;00;Basisschool St Theresia;7884PJ;BARGER-COMPASCUUM;114;Emmen;Drenthe;Bo;Rooms-Katholiek;45000;543,204918032787;124
20171001;06SJ;00;Augustinusschool;3354BN;PAPENDRECHT;590;Papendrecht;Zuid-Holland;Bo;Reformatorisch;69643;1144,10227272727;176
20171001;06SK;00;De Leeuwerik;4456AL;LEWEDORP;654;Borsele;Zeeland;Bo;Samenwerking PC, RK;77533;529,940170940171;117
20171001;06SL;00;Basissch De Verrekijker;6436AZ;AMSTENRADE;962;Schinnen;Limburg;Bo;Rooms-Katholiek;41506;1259,72016460905;243
20171001;06SM;00;Fredericusschool;8395TN;STEGGERDA;98;Weststellingwerf;Friesland;Bo;Rooms-Katholiek;40888;1926,55555555556;72
20171001;06SN;00;Basisschool De Tarissing;9105KG;RINSUMAGEAST;1891;Dantumadiel;Friesland;Bo;Protestants-Christelijk;41039;521,516949152542;118
20171001;06SO;00;Kath BS St Willibrordus;3262HG;OUD-BEIJERLAND;584;Oud-Beijerland;Zuid-Holland;Bo;Rooms-Katholiek;69799;1105,5321888412;233
20171001;06SQ;00;Sint Willibrordusschool;9665HS;OUDE PEKELA;765;Pekela;Groningen;Bo;Rooms-Katholiek;45000;1411,1935483871;155
20171001;06ST;00;CBS De Noordster;9072AK;NIJ ALTOENAE;63;het Bildt;Friesland;Bo;Protestants-Christelijk;40632;1215,97142857143;70
20171001;06SV;00;De Aventurijn;9405HX;ASSEN;106;Assen;Drenthe;So;Algemeen bijzonder;41414;8527,82;50
20171001;06SV;09;De Aventurijn;7901JN;HOOGEVEEN;118;Hoogeveen;Drenthe;So;Algemeen bijzonder;41414;11190,65;20
20171001;06SV;11;De Aventurijn;7822EM;EMMEN;114;Emmen;Drenthe;So;Algemeen bijzonder;41414;8913,1935483871;31
20171001;06SW;00;Sint Victorschool;6654BL;AFFERDEN GLD;225;Druten;Gelderland;Bo;Rooms-Katholiek;41340;403,789473684211;114
20171001;06SY;00;RK Basisschool De Spil;6456AG;BINGELRADE;881;Onderbanken;Limburg;Bo;Rooms-Katholiek;41506;1725,86;56
20171001;06SZ;00;Basisschool Eben Haezer;3471GR;KAMERIK;632;Woerden;Utrecht;Bo;Protestants-Christelijk;70280;50,8790322580645;124
20171001;06TA;00;'t Kompas;3615AG;WESTBROEK;310;De Bilt;Utrecht;Bo;Protestants-Christelijk;41138;950,814814814815;108
20171001;06TC;00;Chr Basisschool De Wel;9108MC;BROEKSTERWALD;1891;Dantumadiel;Friesland;Bo;Protestants-Christelijk;41039;281,208333333333;120
20171001;06TD;00;Basisschool De Bonte Mol;1636XC;SCHERMERHORN;361;Alkmaar;Noord-Holland;Bo;Rooms-Katholiek;73919;792,567567567568;111
20171001;06TF;00;Basisschool Den Opstap;5094GA;LAGE MIERDE;1667;Reusel-De Mierden;Noord-Brabant;Bo;Rooms-Katholiek;44201;198,299363057325;157
20171001;06TH;00;Basisschool St Lidwina;1685PD;ZWAAGDIJK-WEST;420;Medemblik;Noord-Holland;Bo;Rooms-Katholiek;75375;1218,95238095238;44
20171001;06TK;00;RK Paulusschool;6987AD;GIESBEEK;299;Zevenaar;Gelderland;Bo;Rooms-Katholiek;70644;550,985915492958;213
20171001;06TL;00;Basisschool De Hoeksteen;1121XA;LANDSMEER;415;Landsmeer;Noord-Holland;Bo;Protestants-Christelijk;41012;386,992248062016;129
20171001;06TM;00;RK Basisschool St Jozef;1682NP;ZWAAGDIJK-OOST;420;Medemblik;Noord-Holland;Bo;Rooms-Katholiek;75375;1821,25882352941;85
20171001;06TN;00;Basisschool Esmoreit;8105AA;LUTTENBERG;177;Raalte;Overijssel;Bo;Rooms-Katholiek;40894;479,461139896373;193
20171001;06TP;00;Sch M D Bijbel De Burcht;5308JW;AALST GLD;297;Zaltbommel;Gelderland;Bo;Protestants-Christelijk;42658;234,3203125;128
20171001;06TR;00;Basisschool Willibrordus;7681JE;VROOMSHOOP;1700;Twenterand;Overijssel;Bo;Rooms-Katholiek;68836;121,242105263158;95
20171001;06TT;00;Vrijeschool De Zevenster;5403NA;UDEN;856;Uden;Noord-Brabant;Bo;Antroposofisch;41246;2785,76510067114;149
20171001;06TU;00;Deventer Leerschool v Bo;7411HR;DEVENTER;150;Deventer;Overijssel;Bo;Algemeen bijzonder;71242;1669,21100917431;218
20171001;06TX;00;De Kring;3443GZ;WOERDEN;632;Woerden;Utrecht;Bo;Algemeen bijzonder;77975;951;150
20171001;06UB;00;Basisschool de Opbouw;8701AP;BOLSWARD;1900;Sudwest-Fryslan;Friesland;Bo;Algemeen bijzonder;71463;1291,4954954955;111
20171001;06UC;00;Vrije Sch de Zevenster;7576VX;OLDENZAAL;173;Oldenzaal;Overijssel;Bo;Antroposofisch;77456;1859,29032258065;96
20171001;06UD;00;Nieuwe Regentesseschool;3581GL;UTRECHT;344;Utrecht;Utrecht;Bo;Algemeen bijzonder;71502;1842,91964285714;224
20171001;06UE;00;School Md Bijbel Jorai;3474JL;ZEGVELD;632;Woerden;Utrecht;Bo;Protestants-Christelijk;71515;38,7708333333333;144
20171001;06UF;00;Vrijeschool De Zwaneridder;6703BD;WAGENINGEN;289;Wageningen;Gelderland;Bo;Antroposofisch;41246;2635,84795321637;171
20171001;06UG;00;Basisschool De Driehoek;5766PB;GRIENDTSVEEN;1507;Horst aan de Maas;Limburg;Bo;Rooms-Katholiek;47920;654,46;50
20171001;06UI;00;Basisschool De Hoeksteen;7081DP;GENDRINGEN;1509;Oude IJsselstreek;Gelderland;Bo;Protestants-Christelijk;41787;188,742268041237;97
20171001;06UJ;00;SBO St. Maarten;3562CP;UTRECHT;344;Utrecht;Utrecht;Sbo;Rooms-Katholiek;77195;943,066037735849;106
20171001;06UJ;02;SSBO Sint Maarten;3452RN;VLEUTEN;344;Utrecht;Utrecht;Sbo;Rooms-Katholiek;77195;1958,91919191919;198
20171001;06UK;00;Vrijeschool Peelland;5702NM;HELMOND;794;Helmond;Noord-Brabant;Bo;Antroposofisch;41246;3003,91052631579;190
20171001;06UL;00;Basisschool 't Stekske;5453JN;LANGENBOOM;815;Mill en Sint Hubert;Noord-Brabant;Bo;Rooms-Katholiek;71749;407,076433121019;157
20171001;06UN;00;Chr Bso De Walikker;8567LC;OUDEMIRDUM;1940;De Fryske Marren;Friesland;Bo;Protestants-Christelijk;41385;222,893617021277;94
20171001;06UQ;00;Leeuwenhartschool;3261BK;OUD-BEIJERLAND;584;Oud-Beijerland;Zuid-Holland;Bo;Antroposofisch;61960;4235,16949152542;118
20171001;06UR;00;Basisschool St Gertrudis;6454AM;JABEEK;881;Onderbanken;Limburg;Bo;Rooms-Katholiek;41506;1137,54761904762;67
20171001;06UT;00;Vrije School Mareland;2316HA;LEIDEN;546;Leiden;Zuid-Holland;Bo;Antroposofisch;41359;1810,64960629921;254
20171001;06UW;00;Willem De Zwijger;2587HZ;'S-GRAVENHAGE;518;'s-Gravenhage;Zuid-Holland;Bo;Protestants-Christelijk;72100;346,253333333333;450
20171001;06UX;00;BS Koningsbergerschool;7691CA;BERGENTHEIM;160;Hardenberg;Overijssel;Bo;Protestants-Christelijk;40946;125,391089108911;202
20171001;06UZ;00;Basisschool De Postiljon;3769EC;SOESTERBERG;342;Soest;Utrecht;Bo;Protestants-Christelijk;41242;162,513089005236;191
20171001;06VA;00;Basissch St Lambertus;6627AS;MAASBOMMEL;668;West Maas en Waal;Gelderland;Bo;Rooms-Katholiek;41340;0;88
20171001;06VC;00;Basisschool St Bernardus;8375AJ;OLDEMARKT;1708;Steenwijkerland;Overijssel;Bo;Rooms-Katholiek;40888;871,166666666667;72
20171001;06VD;00;De Hoeksteen;3257AR;OOLTGENSPLAAT;1924;Goeree-Overflakkee;Zuid-Holland;Bo;Protestants-Christelijk;72386;369,439759036145;166
20171001;06VF;00;Sint Aloysiusschool;8121CW;OLST;1773;Olst-Wijhe;Overijssel;Bo;Rooms-Katholiek;40894;0;74
20171001;06VJ;00;Bs Groen van Prinsterer;4694AZ;SCHERPENISSE;716;Tholen;Zeeland;Bo;Reformatorisch;42724;432,350649350649;154
20171001;06VL;00;Basisschool De Wiekslag;6921KC;DUIVEN;226;Duiven;Gelderland;Bo;Protestants-Christelijk;61284;314,810218978102;137
20171001;06VN;00;Jenaplanschool Gorkum;4207GG;GORINCHEM;512;Gorinchem;Zuid-Holland;Bo;Algemeen bijzonder;72750;1162,70484581498;227
20171001;06VO;00;Bs De Vier Heemskinderen;5371LB;RAVENSTEIN;828;Oss;Noord-Brabant;Bo;Rooms-Katholiek;48348;2097,28571428571;63
20171001;06VP;00;Bs Rode Schouw;4661VE;HALSTEREN;748;Bergen op Zoom;Noord-Brabant;Bo;Algemeen bijzonder;40980;1674,59016393443;124
20171001;06VS;00;Basisschool Jan Peters;6116BR;ROOSTEREN;1711;Echt-Susteren;Limburg;Bo;Rooms-Katholiek;83280;974,365079365079;66
20171001;06VU;00;Basisschool de Ster;5563BC;WESTERHOVEN;1724;Bergeijk;Noord-Brabant;Bo;Rooms-Katholiek;31384;534,266666666667;180
20171001;06VV;00;RK Basisschool St Jan;5525AN;DUIZEL;770;Eersel;Noord-Brabant;Bo;Rooms-Katholiek;44201;83,6140350877193;114
20171001;06VW;00;Jenaplansch d Lindekring;5435XH;SINT AGATHA;1684;Cuijk;Noord-Brabant;Bo;Rooms-Katholiek;48348;2557,44186046512;43
20171001;06VX;00;Antonius School;5725AZ;HEUSDEN GEM ASTEN;743;Asten;Noord-Brabant;Bo;Rooms-Katholiek;41223;448,371951219512;164
20171001;06VY;00;BS de Tweesprong;6034SJ;NEDERWEERT-EIND;946;Nederweert;Limburg;Bo;Rooms-Katholiek;50819;464,434343434343;99
20171001;06WB;00;RK Basissch De Oversteek;5298CB;LIEMPDE;757;Boxtel;Noord-Brabant;Bo;Rooms-Katholiek;73556;223,631578947368;437
20171001;06WC;00;Basisschool De Kring;5122LE;RIJEN;784;Gilze en Rijen;Noord-Brabant;Bo;Algemeen bijzonder;40971;834,095238095238;273
20171001;06WD;00;De Sprankel;5737CB;LIESHOUT;1659;Laarbeek;Noord-Brabant;Bo;Rooms-Katholiek;40557;278,162420382166;314
20171001;06WF;00;Basisschool De Meulebeek;5807BJ;OOSTRUM LB;984;Venray;Limburg;Bo;Rooms-Katholiek;44397;127,352941176471;153
20171001;06WH;00;BS De Kleine Weide;5394AK;OIJEN;828;Oss;Noord-Brabant;Bo;Rooms-Katholiek;41228;377,294117647059;85
20171001;06WI;00;Basissch St Jan Baptist;5507LA;VELDHOVEN;861;Veldhoven;Noord-Brabant;Bo;Rooms-Katholiek;77338;369,356643356643;143
20171001;06WJ;00;Basisschool Heilig Hart;4725AG;WOUWSE PLANTAGE;1674;Roosendaal;Noord-Brabant;Bo;Rooms-Katholiek;74154;1232,87931034483;58
20171001;06WL;00;Basisschool de Spoorzoeker;6466GG;KERKRADE;928;Kerkrade;Limburg;Bo;Rooms-Katholiek;41516;916,079452054795;369
20171001;06WM;00;Sint Jozef Basisschool;7165AK;RIETMOLEN;1859;Berkelland;Gelderland;Bo;Rooms-Katholiek;25351;1579,51485148515;101
20171001;06WN;00;Basisschool Eben Haezer;4285TH;WOUDRICHEM;874;Woudrichem;Noord-Brabant;Bo;Protestants-Christelijk;41239;89,955223880597;201
20171001;06WO;00;Basisschool De Talententoren;6029PZ;STERKSEL;1658;Heeze-Leende;Noord-Brabant;Bo;Rooms-Katholiek;31384;2237,41904761905;105
20171001;06WS;00;Meester Gijbelsschool;5511AG;KNEGSEL;770;Eersel;Noord-Brabant;Bo;Rooms-Katholiek;77338;288,879518072289;83
20171001;06WT;00;Basisschool Den Bijstere;5014HZ;TILBURG;855;Tilburg;Noord-Brabant;Bo;Rooms-Katholiek;40971;545,104838709677;248
20171001;06WU;00;Chr Basisschool De Ark;2636GC;SCHIPLUIDEN;1842;Midden-Delfland;Zuid-Holland;Bo;Protestants-Christelijk;83228;263,75;128
20171001;06WV;00;RK Bs Mariadonk;4735TA;ZEGGE;840;Rucphen;Noord-Brabant;Bo;Rooms-Katholiek;31017;367,779661016949;118
20171001;06WW;00;Basisschool Nuts Oost;6224JR;MAASTRICHT;935;Maastricht;Limburg;Bo;Algemeen bijzonder;42669;1176,11274509804;205
20171001;06WX;00;Basisschool De Wegwijzer;2825BG;BERKENWOUDE;1931;Krimpenerwaard;Zuid-Holland;Bo;Reformatorisch;74609;1242,95180722892;166
20171001;06WZ;00;RK BS De Linde;5367AA;MACHAREN;828;Oss;Noord-Brabant;Bo;Rooms-Katholiek;48348;97,5333333333333;45
20171001;06XB;00;BS Akkerwinde;5434PD;VIANEN NB;1684;Cuijk;Noord-Brabant;Bo;Rooms-Katholiek;48348;277,51724137931;87
20171001;06XC;00;BS St Lambertus;5291AD;GEMONDE;845;Sint-Michielsgestel;Noord-Brabant;Bo;Rooms-Katholiek;40848;544,48128342246;187
20171001;06XD;00;Basisschool t Rendal;5715AM;LIEROP;847;Someren;Noord-Brabant;Bo;Rooms-Katholiek;41223;85,9007633587786;131
20171001;06XE;00;Basisschool Sint Jozef;4568BH;NIEUW NAMEN;677;Hulst;Zeeland;Bo;Rooms-Katholiek;40803;406,75;36
20171001;06XF;00;Basisschool H Stefanus;6363BZ;WIJNANDSRADE;951;Nuth;Limburg;Bo;Rooms-Katholiek;41506;598,377777777778;90
20171001;06XI;00;Kbs De Werft;4824KA;BREDA;758;Breda;Noord-Brabant;Bo;Rooms-Katholiek;41407;174,732203389831;299
20171001;06XJ;00;Koningin Beatrix;3253BM;OUDDORP ZH;1924;Goeree-Overflakkee;Zuid-Holland;Bo;Protestants-Christelijk;75064;306,138972809668;331
20171001;06XM;00;Basisschool St Antonius;5823AH;MAASHEES;756;Boxmeer;Noord-Brabant;Bo;Rooms-Katholiek;43305;90,7543859649123;57
20171001;06XO;00;RK BS St Jozef;5363RA;VELP NB;786;Grave;Noord-Brabant;Bo;Rooms-Katholiek;48348;2674,44915254237;120
20171001;06XP;00;KBS St. Anna;5124RM;MOLENSCHOT;784;Gilze en Rijen;Noord-Brabant;Bo;Rooms-Katholiek;73191;1212,63157894737;59
20171001;06XQ;00;Dordtse Vrije School;3312NB;DORDRECHT;505;Dordrecht;Zuid-Holland;Bo;Antroposofisch;61960;1529,57510729614;234
20171001;06XR;00;Vrijeschoo De Driestroom;5215CK;'S-HERTOGENBOSCH;796;'s-Hertogenbosch;Noord-Brabant;Bo;Antroposofisch;41246;3962,91139240506;237
20171001;06XU;00;Nicolaasschool;5341BR;OSS;828;Oss;Noord-Brabant;Bo;Rooms-Katholiek;75388;999,643203883495;412
20171001;06XW;00;De Pandelaar;5421NK;GEMERT;1652;Gemert-Bakel;Noord-Brabant;Bo;Algemeen bijzonder;75688;210,955156950673;223
20171001;06XX;00;De Bergpadschool;4364BZ;GRIJPSKERKE;717;Veere;Zeeland;Bo;Protestants-Christelijk;40959;549,775280898876;89
20171001;06YA;00;Immanuelschool;3421KW;OUDEWATER;589;Oudewater;Utrecht;Bo;Protestants-Christelijk;41194;676,011976047904;167
20171001;06YB;00;Basisschool Cleijn Hasselt;5046LP;TILBURG;855;Tilburg;Noord-Brabant;Bo;Rooms-Katholiek;48101;361,191256830601;184
20171001;06YD;00;De Hoeksteen;7881CN;EMMER-COMPASCUUM;114;Emmen;Drenthe;Bo;Rooms-Katholiek;45000;143,944444444444;54
20171001;06YE;00;De Speelhoeve;6602WT;WIJCHEN;296;Wijchen;Gelderland;Bo;Algemeen bijzonder;38001;469,043583535109;413
20171001;06YF;00;Basisschool 't Holthuus;6852EG;HUISSEN;1705;Lingewaard;Gelderland;Bo;Algemeen bijzonder;41013;899,94;350
20171001;06YH;00;Bs De Tovertuin;6137XT;SITTARD;1883;Sittard-Geleen;Limburg;Bo;Rooms-Katholiek;83280;3856,02051282051;200
20171001;06YI;00;Basissch St Laurentius;6579AN;KEKERDOM;1945;Berg en Dal;Gelderland;Bo;Rooms-Katholiek;40814;5049,63888888889;53
20171001;06YJ;00;Vrije School Zeeland;4333DD;MIDDELBURG;687;Middelburg;Zeeland;Bo;Antroposofisch;76585;3945,95794392523;214
20171001;06YK;00;Juliana v Stolbergschool;4421AA;KAPELLE;678;Kapelle;Zeeland;Bo;Reformatorisch;42724;374,408783783784;296
20171001;06YL;00;Basisschool De Ark;8311AZ;ESPEL;171;Noordoostpolder;Flevoland;Bo;Samenwerking PC, RK;40662;541,47619047619;105
20171001;06YM;00;Eben Haezerschool;6721WP;BENNEKOM;228;Ede;Gelderland;Bo;Reformatorisch;76663;1116,60696517413;201
20171001;06YN;00;Basisschool St Bernardus;8162ET;EPE;232;Epe;Gelderland;Bo;Rooms-Katholiek;76806;1821,54193548387;155
20171001;06YO;00;Basissch de Borgwal;6681DE;BEMMEL;1705;Lingewaard;Gelderland;Bo;Rooms-Katholiek;71956;504,389671361502;213
20171001;06YP;00;Basisschool Bastion;7126BL;BREDEVOORT;197;Aalten;Gelderland;Bo;Rooms-Katholiek;76910;572,75;152
20171001;06YQ;00;Basisschool Bernadette;6924AC;LOO GLD;226;Duiven;Gelderland;Bo;Rooms-Katholiek;42148;224,690476190476;84
20171001;06YR;00;Basisschool Immanuel;8341PD;STEENWIJKERWOLD;1708;Steenwijkerland;Overijssel;Bo;Protestants-Christelijk;41270;2463,8115942029;69
20171001;06YT;00;Antonius Basissch;3772CC;BARNEVELD;203;Barneveld;Gelderland;Bo;Rooms-Katholiek;31237;1100,30496453901;141
20171001;06YU;00;Basissch De Zeven Mijlen;7664XC;MANDERVEEN;183;Tubbergen;Overijssel;Bo;Algemeen bijzonder;50949;244,468085106383;57
20171001;06YV;00;RK Basisschool Roncalli;6613AH;BALGOIJ;296;Wijchen;Gelderland;Bo;Rooms-Katholiek;38001;0;54
20171001;06YX;00;RK Basisschool De Korf;7328KM;APELDOORN;200;Apeldoorn;Gelderland;Bo;Rooms-Katholiek;40950;892,437086092715;151
20171001;06YY;00;Basisschool Don Bosco;8341PZ;STEENWIJKERWOLD;1708;Steenwijkerland;Overijssel;Bo;Rooms-Katholiek;40888;1247,68852459016;122
20171001;06YZ;00;KBS St. Jozef;8131DG;WIJHE;1773;Olst-Wijhe;Overijssel;Bo;Rooms-Katholiek;40894;101,879310344828;116
20171001;06ZA;00;Basissch De Meeuwenberg;6665CL;DRIEL;1734;Overbetuwe;Gelderland;Bo;Protestants-Christelijk;41460;364,095477386935;199
20171001;06ZB;00;RK Basissch De Octopus;6631CA;HORSSEN;225;Druten;Gelderland;Bo;Rooms-Katholiek;41340;363,782608695652;138
20171001;06ZC;00;Basissch De Reuzepas;6644EA;EWIJK;209;Beuningen;Gelderland;Bo;Rooms-Katholiek;43487;312,563265306122;245
20171001;06ZF;00;RK BS De Kreeke;4554CP;WESTDORPE;715;Terneuzen;Zeeland;Bo;Rooms-Katholiek;40803;93,8041237113402;98
20171001;06ZH;00;Chr Basissch Het Kompas;4041XJ;KESTEREN;1740;Neder-Betuwe;Gelderland;Bo;Protestants-Christelijk;41460;1066,40625;192
20171001;06ZK;00;Basisschool Vrije School;7608RN;ALMELO;141;Almelo;Overijssel;Bo;Antroposofisch;77456;2616,0725388601;193
20171001;06ZL;00;Basisschool't Mollenveld;7121KZ;AALTEN;197;Aalten;Gelderland;Bo;Protestants-Christelijk;41787;1537,38095238095;64
