PEILDATUM;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;AFSTAND;LEERLINGEN
20171001;00GR;00;Kristal;8181VZ;HEERDE;246;Heerde;Gelderland;Bo;Gereformeerd vrijgemaakt;41632;1327,17142857143;105
20171001;00GV;00;Basisschool Maria-School;7661RA;VASSE;183;Tubbergen;Overijssel;Bo;Rooms-Katholiek;50949;726,374045801527;138
20171001;00GX;00;RK BS St Jacobus;6675BB;VALBURG;1734;Overbetuwe;Gelderland;Bo;Rooms-Katholiek;28147;267,163461538462;104
20171001;00GZ;00;Maharishi Basisschool;8226LP;LELYSTAD;995;Lelystad;Flevoland;Bo;Algemeen bijzonder;41335;2106,41379310345;58
20171001;00HA;00;Ref Basissch Augustinus;3851BH;ERMELO;233;Ermelo;Gelderland;Bo;Reformatorisch;30128;2873,07692307692;234
20171001;00HH;00;OBS De Vliete;4491GB;WISSENKERKE;1695;Noord-Beveland;Zeeland;Bo;Openbaar;41670;554,934210526316;76
20171001;00HZ;00;Klavertje 4;3421XL;OUDEWATER;589;Oudewater;Utrecht;Bo;Algemeen bijzonder;20252;1002,55208333333;192
20171001;00IF;00;RK BS Heilig Hart;7666LH;FLERINGEN;183;Tubbergen;Overijssel;Bo;Rooms-Katholiek;50949;396,216216216216;74
20171001;00IH;00;De Horizon;6835HZ;ARNHEM;202;Arnhem;Gelderland;Sbo;Rooms-Katholiek;40812;2385,23648648649;148
20171001;00IJ;00;PC BS De Schaapskooi;7443HC;NIJVERDAL;163;Hellendoorn;Overijssel;Bo;Protestants-Christelijk;85600;32,803738317757;214
20171001;00IM;00;Joos v Larensch;4341ER;ARNEMUIDEN;687;Middelburg;Zeeland;Bo;Reformatorisch;30145;310,27027027027;111
20171001;00JH;00;SSBO De Kameleon;7901JN;HOOGEVEEN;118;Hoogeveen;Drenthe;Sbo;Algemeen bijzonder;41414;5665,6935483871;62
20171001;00JL;00;SSBO Kingma;3817GA;AMERSFOORT;307;Amersfoort;Utrecht;Sbo;Algemeen bijzonder;21881;4035,23529411765;154
20171001;00JX;00;SSBO Wending;1187SM;AMSTELVEEN;362;Amstelveen;Noord-Holland;Sbo;Openbaar;41580;2486,76851851852;108
20171001;00JY;00;SSBO Kompas;1784MC;DEN HELDER;400;Den Helder;Noord-Holland;Sbo;Algemeen bijzonder;30742;3696,43055555556;144
20171001;00KK;00;Mytylschool  Kiem;3318AA;DORDRECHT;505;Dordrecht;Zuid-Holland;So;Algemeen bijzonder;41417;6206,58854166667;192
20171001;00KK;00;Mytylschool  Kiem;3318AA;DORDRECHT;505;Dordrecht;Zuid-Holland;Vso;Algemeen bijzonder;41417;5641,58333333333;12
20171001;00KM;00;Attendiz;7552HA;HENGELO OV;164;Hengelo;Overijssel;Vso;Algemeen bijzonder;25859;6712,71134020619;97
20171001;00KM;21;Mota;7602PD;ALMELO;141;Almelo;Overijssel;Vso;Algemeen bijzonder;25859;11467,63;101
20171001;00KM;22;Scholengroep Twente Speciaal;7602XR;ALMELO;141;Almelo;Overijssel;So;Algemeen bijzonder;25859;8021,66666666667;99
20171001;00KM;23;Scholengroep Twente Speciaal;7604JE;ALMELO;141;Almelo;Overijssel;Vso;Algemeen bijzonder;25859;7078,35164835165;91
20171001;00KM;32;De Bouwsteen;7555SG;HENGELO OV;164;Hengelo;Overijssel;So;Algemeen bijzonder;25859;10300,3823529412;34
20171001;00KM;32;De Bouwsteen;7555SG;HENGELO OV;164;Hengelo;Overijssel;Vso;Algemeen bijzonder;25859;16909,0447761194;67
20171001;00KM;33;De Kapstok;7554TP;HENGELO OV;164;Hengelo;Overijssel;Vso;Algemeen bijzonder;25859;9901;15
20171001;00KM;35;De Kapstok;7554RL;HENGELO OV;164;Hengelo;Overijssel;Vso;Algemeen bijzonder;25859;12556,6666666667;30
20171001;00KM;36;De Kapstok;7555CS;HENGELO OV;164;Hengelo;Overijssel;Vso;Algemeen bijzonder;25859;9199,34615384615;27
20171001;00KM;40;De Kapstok Hassinkweg;7556BV;HENGELO OV;164;Hengelo;Overijssel;Vso;Algemeen bijzonder;25859;12925,0465116279;43
20171001;00KM;42;Het Mozaiek;7552JR;HENGELO OV;164;Hengelo;Overijssel;So;Algemeen bijzonder;25859;5756,02645502645;189
20171001;00KM;43;De Kapstok;7555ED;HENGELO OV;164;Hengelo;Overijssel;Vso;Algemeen bijzonder;25859;8856,31818181818;88
20171001;00KM;52;Panta Rhei;7522AR;ENSCHEDE;153;Enschede;Overijssel;Vso;Algemeen bijzonder;25859;9245,32;100
20171001;00KM;55;Attendiz;7601CT;ALMELO;141;Almelo;Overijssel;So;Algemeen bijzonder;25859;4042,82222222222;45
20171001;00KU;00;SBO de Windroos;6545LX;NIJMEGEN;268;Nijmegen;Gelderland;Sbo;Protestants-Christelijk;29810;1842,69402985075;134
20171001;00KX;00;Herman Broerenschool;6045GL;ROERMOND;957;Roermond;Limburg;So;Rooms-Katholiek;26132;7295,44117647059;68
20171001;00KX;00;Herman Broerenschool;6045GL;ROERMOND;957;Roermond;Limburg;Vso;Rooms-Katholiek;26132;8667,72727272727;99
