PEILDATUM_LEERLINGEN;PRIKDATUM_ADVIEZEN;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;VSO;PRO;VMBO_B;VMBO_B_K;VMBO_K;VMBO_K_GT;VMBO_GT;VMBO_GT_HAVO;HAVO;HAVO_VWO;VWO;ADVIES_NIET_MOGELIJK;TOTAAL_ADVIES
20170415;20170722;03NE;00;RK Basisschool Vinkenbos;4714BZ;SPRUNDEL; 840;Rucphen;Noord-Brabant;Bo;Rooms-Katholiek;31017;0;0;3;0;5;0;4;2;8;4;6;0;32
20170415;20170722;03NF;00;De Drie Vijvers;6596AP;MILSBEEK; 907;Gennep;Limburg;Bo;Rooms-Katholiek;37663;0;0;2;1;4;1;7;5;3;1;2;0;26
20170415;20170722;03NH;00;RK Basissch St Jozef;4529GJ;EEDE ZLD;1714;Sluis;Zeeland;Bo;Rooms-Katholiek;37299;0;0;0;0;0;0;0;0;0;0;0;0;3
20170415;20170722;03NI;00;De Tweemaster;2141VJ;VIJFHUIZEN; 394;Haarlemmermeer;Noord-Holland;Bo;Algemeen bijzonder;40775;0;0;1;0;1;1;8;2;8;4;16;0;41
20170415;20170722;03NJ;00;Aloysiusschool voor Bo;2051BC;OVERVEEN; 377;Bloemendaal;Noord-Holland;Bo;Rooms-Katholiek;40775;0;0;0;0;0;0;0;0;9;5;16;0;30
20170415;20170722;03NN;00;RK BS De Driesprong;4861BB;CHAAM;1723;Alphen-Chaam;Noord-Brabant;Bo;Rooms-Katholiek;32060;0;0;0;0;4;1;18;0;11;0;6;0;40
20170415;20170722;03NO;00;RK Basissch De Wegwijzer;4885AH;ACHTMAAL; 879;Zundert;Noord-Brabant;Bo;Rooms-Katholiek;78066;0;0;0;0;4;0;3;3;0;2;1;0;13
20170415;20170722;03NP;00;Basissch St Sebastianus;7447CK;HELLENDOORN; 163;Hellendoorn;Overijssel;Bo;Rooms-Katholiek;68836;0;0;2;2;1;0;6;2;4;0;8;0;25
20170415;20170722;03NQ;00;RK Bs De Reuzelaar;4741EJ;HOEVEN;1655;Halderberge;Noord-Brabant;Bo;Rooms-Katholiek;31017;0;0;3;2;3;7;1;5;4;4;7;0;36
20170415;20170722;03NR;00;Basisschool De Oostvogel;4586AJ;LAMSWAARDE; 677;Hulst;Zeeland;Bo;Rooms-Katholiek;40803;1;0;1;1;0;0;0;2;5;1;0;0;11
20170415;20170722;03NT;00;RK Basissch De Regenboog;2252TR;VOORSCHOTEN; 626;Voorschoten;Zuid-Holland;Bo;Rooms-Katholiek;41447;0;0;1;0;0;0;11;6;6;10;14;0;48
20170415;20170722;03NU;00;Talentencampus Venlo Basisondw;5913GB;VENLO; 983;Venlo;Limburg;Bo;Rooms-Katholiek;41018;0;0;1;0;5;0;6;0;6;0;10;0;28
20170415;20170722;03NW;00;Kbs De Zandberg;4818GL;BREDA; 758;Breda;Noord-Brabant;Bo;Rooms-Katholiek;41407;0;0;0;1;4;0;11;16;17;15;34;0;98
20170415;20170722;03NX;00;Rk Bs Gerardus Majella;2811JG;REEUWIJK;1901;Bodegraven-Reeuwijk;Zuid-Holland;Bo;Rooms-Katholiek;40765;0;0;0;1;1;0;4;0;4;0;0;0;10
20170415;20170722;03NY;00;RK Basissch St Antonius;2431XB;NOORDEN; 569;Nieuwkoop;Zuid-Holland;Bo;Rooms-Katholiek;40974;0;0;1;0;2;0;5;0;4;2;6;0;20
